LotNO,target,data1,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,data22,data23,data24,data25,data26,data27,data28,data29,data30,data31,data32,data33,data34,data35,data36,data37,data38,data39,data40,data41,data42,data43
525,129.72,7038,20700,7590,814200,41.11250005,8556,9108,138,1725,172.5,1269.6,89700,82.8,82.8,80.04,12696,13938,400.2,8280,6154.8,25116,924.6,0,138,0,-7866,102.12,37260,354.66,224.94,94.254,161.46,397.44,260.82,52.992,276,27600,2392,1058,0,1150,0,4554
526,131.1,7038,20010,7590,814200,41.4,8418,8859.6,138,1725,172.5,1269.6,89700,82.8,82.8,80.04,12696,13938,400.2,8280,6154.8,25116,924.6,0,138,0,-7866,102.12,37260,354.66,224.94,94.254,161.46,397.44,260.82,52.992,276,27600,2392,1058,0,1150,0,4554
527,129.72,6624,9660,7728,828000,41.4,8362.8,8652.6,168.36,1725,222.18,1311,103500,62.1,62.1,57.96,12696,13938,400.2,8280,6154.8,25116,924.6,0,138,0,-7866,104.88,36846,360.18,224.94,92.46,155.94,394.68,266.34,53.268,460,28980,2346,1150,0,1472,0,4232
528,128.34,6624,13800,7728,828000,41.49583327,8335.2,8942.4,169.74,1725,222.18,1311,103500,62.1,62.1,57.96,12696,13938,400.2,8280,6154.8,25116,924.6,0,138,0,-7866,104.88,36846,360.18,224.94,92.46,155.94,394.68,266.34,53.268,460,28980,2346,1150,0,1472,0,4232
529,131.1,7038,7590,6900,828000,40.63333327,8418,8873.4,162.84,1725,222.18,1311,103500,62.1,62.1,57.96,12696,13938,400.2,8280,6127.2,25530,924.6,0,138,0,-7866,100.74,36294,354.66,224.94,93.564,160.08,400.2,266.34,52.854,828,28980,2162,1150,0,1518,0,4646
530,131.1,7038,6900,6900,828000,40.44166673,8307.6,9121.8,168.36,1725,222.18,1311,103500,62.1,62.1,57.96,12696,13938,400.2,8280,6127.2,25530,924.6,0,138,0,-7866,100.74,36294,354.66,224.94,93.564,160.08,400.2,266.34,52.854,828,28980,2162,1150,0,1518,0,4646
531,132.48,7038,6900,6900,828000,41.20833332,8293.8,8914.8,164.22,1725,222.18,1311,103500,62.1,62.1,57.96,12696,13938,400.2,8280,6127.2,25530,924.6,0,138,0,-7866,100.74,36294,354.66,224.94,93.564,160.08,400.2,266.34,52.854,828,28980,2162,1150,0,1518,0,4646
532,133.86,7038,10350,6900,828000,43.02916673,8528.4,9301.2,166.98,1725,222.18,1311,103500,62.1,62.1,57.96,12696,13938,400.2,8280,6127.2,25530,924.6,0,138,0,-7866,100.74,36294,354.66,224.94,93.564,160.08,400.2,266.34,52.854,828,28980,2162,1150,0,1518,0,4646
533,133.86,7038,12420,6900,828000,41.49583327,8362.8,9052.8,168.36,1725,222.18,1311,103500,62.1,62.1,57.96,12696,13938,400.2,8280,6127.2,25530,924.6,0,138,0,-7866,100.74,36294,354.66,224.94,93.564,160.08,400.2,266.34,52.854,828,28980,2162,1150,0,1518,0,4646
534,131.1,6624,20700,8556,814200,40.72916668,8556,8997.6,138,1725,172.5,1269.6,89700,82.8,82.8,80.04,12696,13938,400.2,8280,6154.8,25116,924.6,0,138,0,-7866,106.26,38226,356.04,223.56,93.426,157.32,394.68,263.58,53.544,368,27600,2714,1196,0,1196,0,4416
